date,nav,cumulative_return,cumulative_return_pct,portfolio_measure,currency
2026-02-18,2587.3980402352,-0.05349763,-5.3498,TWR,USD
2026-02-19,2583.2180402352,-0.05502673,-5.5027,TWR,USD
2026-02-20,2593.0294594709,-0.05143759,-5.1438,TWR,USD
2026-02-23,2690.0515544211,-0.06951428,-6.9514,TWR,USD
2026-02-24,2729.1645432605,-0.05598515,-5.5985,TWR,USD
2026-02-25,2777.3657666176,-0.0393124,-3.9312,TWR,USD
2026-02-26,2735.5492374213,-0.05377669,-5.3777,TWR,USD
2026-02-27,2702.1645432605,-0.06532442,-6.5324,TWR,USD
2026-03-02,3227.8551549391,-0.06116794,-6.1168,TWR,USD
2026-03-03,3198.4437184383005,-0.06972236,-6.9722,TWR,USD
2026-03-04,3246.9169899746003,-0.05562375,-5.5624,TWR,USD
2026-03-05,3248.3963782961,-0.05519346,-5.5193,TWR,USD
2026-03-06,3204.2945432605,-0.06802062,-6.8021,TWR,USD
2026-03-09,3229.9104607783,-0.06057015,-6.0570,TWR,USD
2026-03-10,3229.913931582,-0.06056914,-6.0569,TWR,USD
2026-03-11,3245.5833199034996,-0.05601165,-5.6012,TWR,USD
2026-03-12,3188.842708225,-0.07251484,-7.2515,TWR,USD
2026-03-13,3162.8420965465,-0.0800772,-8.0077,TWR,USD
2026-03-16,3196.6862691894003,-0.07023352,-7.0234,TWR,USD
2026-03-17,3206.9832107968,-0.06723862,-6.7239,TWR,USD
2026-03-18,3165.9919874398,-0.07916105,-7.9161,TWR,USD
2026-03-19,3127.7036541539,-0.09029733,-9.0297,TWR,USD
2026-03-20,3086.1589599931,-0.10238074,-10.2381,TWR,USD
2026-03-23,3116.6736541539,-0.09350544,-9.3505,TWR,USD
2026-03-24,3094.337129225,-0.10000209,-10.0002,TWR,USD
2026-03-25,3110.0112101354002,-0.09544324,-9.5443,TWR,USD
2026-03-26,3404.9115400642004,-0.11184612,-11.1846,TWR,USD
2026-03-27,3354.0918699931003,-0.12510217,-12.5102,TWR,USD
2026-03-30,3341.1186466361,-0.12848617,-12.8486,TWR,USD
2026-03-31,3433.0055057613,-0.10451795,-10.4518,TWR,USD
2026-04-01,3447.2287291183,-0.1008079,-10.0808,TWR,USD
2026-04-02,3464.375423279,-0.09633527,-9.6335,TWR,USD
2026-04-03,3464.5220349576,-0.09629703,-9.6297,TWR,USD
2026-04-06,3469.0687291183003,-0.09511104,-9.5111,TWR,USD
2026-04-07,3470.4986466361006,-0.09473806,-9.4738,TWR,USD
2026-04-08,3517.1351758324,-0.08257316,-8.2573,TWR,USD
2026-04-09,3530.4385641539,-0.07910303,-7.9103,TWR,USD
2026-04-10,3554.3317875108996,-0.07287061,-7.2871,TWR,USD
2026-04-13,3588.6323321893997,-0.06392349,-6.3923,TWR,USD
2026-04-14,3657.0958029931,-0.04606514,-4.6065,TWR,USD
2026-04-15,3692.1724971539,-0.03691556,-3.6916,TWR,USD
2026-04-16,3688.8920847428,-0.03777124,-3.7771,TWR,USD
2026-04-17,3745.4057205109,-0.02302994,-2.3030,TWR,USD
2026-04-20,3743.5423321894,-0.023516,-2.3516,TWR,USD
2026-04-21,3709.1923321893996,-0.03247602,-3.2476,TWR,USD
2026-04-22,4074.2360420301998,-0.01035101,-1.0351,TWR,USD
2026-04-23,3934.0389624515,-0.04440547,-4.4405,TWR,USD
2026-04-24,4380.7516613983,0.06410292,6.4103,TWR,USD
2026-04-27,3765.0172807664,-0.08546154,-8.5462,TWR,USD
2026-04-28,3731.4188381876,-0.09362274,-9.3623,TWR,USD
2026-04-29,3545.4159177664005,-0.13880363,-13.8804,TWR,USD
2026-04-30,3484.3975994515,-0.15362524,-15.3625,TWR,USD
2026-05-01,3492.5717586089,-0.1516397,-15.1640,TWR,USD
2026-05-04,3472.7661392408,-0.15645057,-15.6451,TWR,USD
2026-05-05,3662.8473779769997,-0.11027904,-11.0279,TWR,USD
2026-05-06,5297.5821341876,-0.08097989,-8.0980,TWR,USD
2026-05-07,5338.733735240799,-0.07384095,-7.3841,TWR,USD
2026-05-08,5564.0916565047,-0.03474604,-3.4746,TWR,USD
2026-05-11,6073.577976715301,0.05363921,5.3639,TWR,USD
2026-05-12,14655.5563132704,0.04623896,4.6239,TWR,USD
2026-05-13,14691.074402172999,0.04877454,4.8775,TWR,USD
2026-05-14,14969.8523800948,0.0686761,6.8676,TWR,USD
2026-05-15,14654.564102172999,0.04616813,4.6168,TWR,USD
